1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
2,409.85541,28,8,9,4,387,25,53,186,93,631.27527,1.6312022,0,0,121,0,0,201,0,29,35,0,1,1.24485,-2.710304,-0.54267997,0.41632149,2.7997413,-3.3145645,-0.45607552,0.35606086,2.7402527,-2.4684296,-0.30751514,0.57326192,3.0383561,267.48862,87,0.45789474,10,391,27,190,8,109,0.57368422,354,0,139.61946,110.74892,79.817802,82.787094,87.78471399999999,64.803169,40.209824,42.54586,28,28,0.76759475,75,1,-0.86298752,-0.38989246,0.093019515,3.3932905,-2.2355018,-0.4062624,0.054200001,3.3012884,-0.64194691,-0.22037631,0.13989374,3.619596,176.33934,94.09530599999999,62.838737,140.37161,74.80652600000001,49.914085,56.455444,64,37,0,3,-1.449,-18.22788,68.582382,0,1,25,0,5,88,6,0,0,23.574623,-23.574623,0.020819323,0.023322525,642.09766,264.36472,81.257614,220.29578,318.48755,16.095491,86.19013200000001,280.88306,325.33615,0,26.362989,14.466941,312.03918,130.53525,0.67708558,0.40083084,0.16812804,0.32291439,0.59916919,0.15478636,1840.5979,1089.6235,457.04135,877.81451,1628.7889,420.77319,0.49333334,0.9736841899999999,0,0,0,0,1,0,0,0,1,0,2718.4124,0,0,0,2718.4124,0,38,1,5,0,0,1,-14.13543,749.3291,133.05669,790.1037,190.64981,34.061146,18.868406,0,92.50419599999999,517.81726,599.86829,66.23590900000001,842.44446,57.019081,575.48639,104.79265,4.7171016,578.36566,317.45786,645.9754,1048.34,0.087247595,8.5698557,6.000298,14.758571,2718.4124,3451.2129,435.04147,108.53537,70.969955,201.6692,1417.0291,401.00726,663.8445400000001,2654.1729,472418,293,896
2,361.32355,35,0,5,4,342,24,59,161,78,561.46051,1.6416973,0,0,103,0,0,181,0,29,27,0,2,0.86052746,-2.7513087,-0.48500571,0.44601819,2.8463037,-3.3218808,-0.48828387,0.43654752,2.7730799,-2.5413582,-0.33072492,0.5953510400000001,3.0842886,243.24246,67,0.39880952,5,349,19,168,7,83,0.49404761,325,0,119.36875,97.567108,69.108543,70.967468,76.170013,58.222012,32.88089,33.909336,30,30,0.77115619,68,8,-0.85256284,-0.36651871,0.076060683,3.4790921,-2.2351704,-0.39183819,0.054200001,3.3879232,-0.64178401,-0.22198853,0.14505139,3.6993871,146.03175,73.872452,45.897617,121.5572,61.418644,38.12923,46.371914,56,33,0,3,-1.913,-16.415831,59.643261,0,1,41,0,8,72,6,0,0,20.160549,-18.160549,0.024320906,0.021631325,562.52228,251.25366,77.593346,172.38026,341.06662,56.044598,24.300587,200.76122,271.16879,0,53.357079,41.84993,257.91748,38.795116,0.67647052,0.36775035,0.14412981,0.32352951,0.63224965,0.17939968,1589.0366,863.84961,338.56253,759.97437,1485.1614,421.4118,0.5,1,0,0,0,0,1,0,0,0,1,0,2349.011,0,0,0,2349.011,0,34,1,8,0,0,0.84472048,-8.915530199999999,563.60992,120.5812,679.05524,168.51753,33.63232,50.559578,0,33.999886,366.87,598.76178,58.835739,511.8136,137.11043,404.7518,133.06764,98.691559,373.6312,259.81595,696.70532,851.59998,0.09984752500000001,8.392317800000001,5.8139071,14.341748,2349.011,2999.155,287.60541,0,58.910046,179.63367,1215.1327,391.7543,530.6701,2321.8889,309376,261,804
2,381.06989,39,0,6,10,365,28,67,176,79,602.00812,1.6493374,0,0,108,0,0,189,0,35,33,0,0,0.95013928,-2.738261,-0.5586389899999999,0.57403344,2.825789,-3.3083181,-0.55095732,0.47958043,2.7509184,-2.4988883,-0.37539104,0.6591264,3.0671909,244.72412,75,0.40983605,6,372,23,183,7,92,0.50273222,343,0,130.46477,101.27982,69.265396,71.770584,83.258713,59.76638,34.11615,35.946037,31,31,0.7824137799999999,68,10,-0.84576362,-0.41039875,0.095526651,3.6307397,-2.2351449,-0.40725908,0.054200001,3.5370407,-0.64091206,-0.24389249,0.18745065,3.8440614,160.94836,83.432541,54.503101,128.6595,66.605705,43.471752,48.690098,68,50,0,3,-9.6059999,-12.85781,62.844059,0,1,46,0,7,86,6,0,0,25.490898,-21.490898,0.019253779,0.018279215,493.12732,315.58408,71.019913,189.61829,405.11642,145.38069,55.663734,267.034,136.99588,0,0,43.400822,312.06647,82.89373000000001,0.58516169,0.33456072,0.17409778,0.41483828,0.66543925,0.24074051,1473.3795,842.39093,438.36102,1044.5219,1675.5105,606.16083,0.5,1,0,0,0,0,1,0,0,0,1,0,2517.9014,0,0,0,2517.9014,0,34,1,8,0,0,0.89772725,-20.08773,896.10498,118.11142,722.93146,191.85582,16.417963,18.868406,0,70.572739,452.84174,338.50357,62.001369,559.53802,285.20975,406.3446,151.6772,230.28032,542.2829,297.47,353.40536,1078.5,0.09260241700000001,8.515699400000001,5.7782912,14.614959,2517.9014,3191.2014,314.73923,0,141.24515,291.77118,1150.8612,392.84146,718.52661,2505.9119,365275,281,870
2,613.51355,41,8,24,13,576,40,81,279,138,956.51758,1.6606208,0,0,178,0,0,297,0,50,48,0,3,1.0149243,-2.7188737,-0.54315156,0.49142376,2.8021045,-3.3149331,-0.48675409,0.48029867,2.7433121,-2.4752114,-0.32744485,0.65349501,3.0412469,387.53448,135,0.47368422,26,582,40,285,8,170,0.59649122,516,0,208.61351,164.6136,114.17008,119.75189,132.13423,97.132553,56.85656,61.744499,39,39,0.77135456,106,6,-0.86302269,-0.39919692,0.10467326,3.4894226,-2.2353017,-0.40014955,0.054200001,3.3949926,-0.64190847,-0.221678,0.16184348,3.7139859,265.46304,146.17651,99.646286,210.1871,115.63766,78.781952,87.116653,98,72,0,3,-7.1009998,-26.175579,103.7067,0,1,38,0,7,138,6,0,0,40.366871,-35.366871,0.012158679,0.015546178,823.90869,505.93353,114.2064,340.96194,481.58075,102.28562,195.12439,381.16403,414.67404,0,72.48659499999999,14.466941,488.15356,157.68044,0.64832079,0.3735072,0.16133915,0.35167918,0.6264928,0.19034004,2653.3352,1528.6256,660.30096,1439.2917,2564.0012,778.99078,0.5,1,0,0,0,0,1,0,0,0,1,0,4092.627,0,0,0,4092.627,0,53,1,7,0,0,1,-27.352091,1294.9663,191.57718,1118.1486,317.31482,40.432297,88.296387,0,273.2243,733.73999,632.0878300000001,100.78318,1104.9288,168.00916,925.10321,159.93881,108.12576,961.92114,505.7677,755.99323,1696.47,0.062467977,9.154818499999999,6.4822183,15.921982,4092.627,5181.5264,584.27759,108.53537,206.53253,423.16519,2032.2484,606.1997699999999,1061.7104,4001.834,1468221,434,1334
2,327.01813,27,0,9,1,301,24,51,147,74,513.22961,1.7050818,0,0,93,0,0,154,0,23,26,0,5,1.187261,-2.7028556,-0.53152806,0.4486053,2.7946906,-3.309015,-0.52379864,0.49008718,2.7427371,-2.4598777,-0.32819438,0.60611105,3.0362463,216.66988,65,0.43046358,10,305,20,151,7,84,0.5562914,275,0,109.75838,90.05154400000001,61.205284,63.633121,69.65733299999999,53.983715,27.910643,29.913998,21,21,0.78971696,68,2,-0.86279124,-0.40672231,0.07177826800000001,3.3137145,-2.2350965,-0.41530174,0.019580565,3.2251797,-0.64084733,-0.22020774,0.17063734,3.5502768,137.42607,73.04342699999999,47.297348,115.39293,61.256672,39.63179,48.085625,49,27,0,3,-3.0910001,-18.003531,55.886047,0,1,25,0,5,66,6,0,0,18.119257,-17.119257,0.027087003,0.022926375,459.76584,271.42477,77.944046,194.43874,300.28732,16.095491,8.6190128,184.37154,232.94279,0,118.61021,14.466941,271.33841,33.80798,0.70486182,0.39170951,0.14633553,0.29513818,0.60829049,0.14880265,1539.4979,855.5379,319.61334,644.61517,1328.5752,325.0018,0.5,1,0,0,0,0,1,0,0,0,1,0,2184.113,0,0,0,2184.113,0,34,1,5,0,0,1,-7.68543,476.64236,111.4243,603.15833,282.99701,25.239555,82.250755,0,92.50419599999999,327.0054,464.35126,55.379829,504.67557,107.78954,413.94095,84.882805,4.7171016,295.33957,388.17267,666.05493,835.65997,0.10612425,8.238404299999999,5.7708631,14.080052,2184.113,2742.3496,285.80536,0,17.742489,131.39401,1162.7821,366.09369,471.46704,2170.72,249193,232,712
2,541.52655,41,12,6,8,518,40,81,250,117,847.28241,1.6356803,0,0,157,0,0,268,0,40,53,0,0,3.8034909,-2.6925788,-0.54981971,0.41554192,2.7057495,-3.3093262,-0.47942272,0.35126233,2.6923666,-2.4630225,-0.31281713,0.57312179,2.9469891,348.62949,128,0.51200002,6,518,40,250,8,160,0.63999999,472,0,190.48018,146.24908,103.03262,106.85276,117.17899,83.849976,51.734913,54.443417,36,36,0.77399248,101,0,-0.86299986,-0.41000551,0.095526651,3.4533992,-2.2351401,-0.41552439,0.054200001,3.3491271,-0.64193976,-0.22584815,0.14215903,3.6757812,248.004,137.28079,103.02387,194.0451,107.3017,80.470085,83.285477,93,61,0,3,-9.0699997,-21.438231,90.367767,0,1,7,0,1,129,5,0,0,34.400692,-34.400692,0.01426704,0.015982809,745.63208,417.45624,98.644203,284.42743,506.08731,59.190556,127.72874,381.49612,379.37064,0,0,0,461.14752,240.25986,0.62327802,0.39505541,0.18949577,0.37672195,0.60494459,0.18722619,2307.0266,1462.2742,701.40735,1394.4139,2239.1665,693.00659,0.49504951,0.98039216,0,0,0,0,1,0,0,0,1,0,3701.4407,0,0,0,3701.4407,0,51,1,1,0,0,0.96399999,-28.66123,1297.4781,178.96422,1091.132,196.82918,42.88274,18.868406,0,70.572739,641.52576,771.74176,87.01145200000001,1186.7264,234.75378,780.5271,148.78931,65.79437299999999,730.96692,375.7934,786.64355,1566.72,0.06722154499999999,8.9657841,6.3552508,15.604592,3701.4407,4600.9155,610.51141,162.80305,129.88,323.78235,1766.5621,540.37604,1042.8291,3564.0979,1080270,381,1168
2,30.021481,4,0,0,1,30,1,5,13,7,46.964962,1.5654987,0,0,8,0,0,17,0,2,3,0,0,2.0075426,-2.6924202,-0.47608384,0.53876138,2.8130591,-3.3298922,-0.50464696,0.5264526,2.7385442,-2.4915154,-0.3928853,0.6509910800000001,3.0351772,21.160519,2,0.14285715,0,31,0,14,5,2,0.14285715,31,0,9.2591486,7.6856151,5.2675848,5.2675848,6.3256984,4.8062239,2.5580783,2.5580783,3,3,0.8020790800000001,6,2,-0.84825182,-0.32107699,0.1644356,2.6748877,-2.2351582,-0.36634913,0.054200001,2.5730834,-0.64133728,-0.22691861,0.11580665,2.854562,9.551020599999999,4.0221605,1.7751479,9.160941100000001,3.8435669,1.6910057,2.7085147,5,4,1,0,-0.93699998,0.067989998,4.6963058,0,1,10,1,2,3,0,0,0,2.1354074,-1.1354073,0.22966193,0.34221843,43.050026,23.873537,19.216679,22.058474,10.324173,16.095491,8.6190128,17.402626,0,0,7.2334704,7.2334704,0,7.7675405,0.7263714100000001,0.21674486,0.082028992,0.27362856,0.78325516,0.19159958,132.83481,39.637108,15.001011,50.039688,143.2374,35.038677,0.5,1,0,0,0,0,1,0,0,0,1,0,182.8745,0,0,0,182.8745,0,3,1,2,0,0,1,-1.6585,58.282413,3.1243138,41.434994,60.292095,0,0,0,0,37.736813,0,4.4314899,27.431234,28.509541,32.897186,14.003759,0,37.736813,60.292095,0,69.56999999999999,0.64772749,4.8073549,2.4269431,7.1160421,182.8745,229.64693,14.466941,0,17.742489,17.742489,109.43255,12.949531,45.776352,189.235,229,18,66
2,623.74792,54,4,31,5,582,51,105,287,142,971.65759,1.6695148,0,0,184,0,0,295,0,48,52,0,3,0.89605767,-2.7337811,-0.54973894,0.54494071,2.8190093,-3.3092742,-0.5160868199999999,0.48017588,2.7448707,-2.4928584,-0.36399132,0.66581672,3.0556247,395.61008,132,0.44897959,32,589,40,294,8,167,0.5680272,517,0,214.98967,169.42767,119.49168,125.59252,135.20627,98.970367,57.101913,62.189507,41,41,0.77530664,115,3,-0.86293674,-0.39321712,0.07601337900000001,3.4805036,-2.2351246,-0.40896121,0.054200001,3.3903544,-0.64182687,-0.22547022,0.17870347,3.708658,271.59344,145.18968,102.67059,213.99306,114.29796,80.77825900000001,85.222893,100,62,0,3,-7.4660001,-31.69791,105.92583,0,1,43,0,8,134,6,0,0,36.401524,-35.401524,0.013482853,0.015528691,856.14459,522.29272,129.867,353.37955,594.1087,59.190556,50.157627,366.60095,497.50259,0,65.884224,25.832092,515.55206,143.64819,0.66783834,0.38635358,0.16387704,0.33216166,0.61364639,0.16828464,2791.6716,1615.0201,685.03235,1388.4893,2565.1406,703.45685,0.49565217,0.98275864,0,0,0,0,1,0,0,0,1,0,4180.1606,0,0,0,4180.1606,0,58,1,8,0,0,0.97909409,-19.64945,1158.3787,230.83868,1205.8826,227.60362,59.178181,157.72438,0,319.29263,461.21204,936.15887,103.85173,1043.4243,296.83438,808.64594,197.6368,103.40866,824.02246,421.74695,1060.5502,1619.58,0.061161272,9.199672700000001,6.5458455,15.998171,4180.1606,5291.875,570.71069,54.267685,76.652534,311.02768,2131.0286,640.2047700000001,1032.2535,4107.8657,1614392,442,1388
2,232.11641,19,4,5,5,222,18,37,108,47,368.00351,1.6576735,0,0,66,0,0,114,0,21,21,0,0,3.642252,-2.6971321,-0.54976565,0.43424267,2.7017148,-3.3174655,-0.49244988,0.39308703,2.6922729,-2.4533539,-0.32723251,0.59617984,2.9475777,148.1076,55,0.50925928,5,222,18,108,8,68,0.62962961,199,0,82.077316,62.511112,42.68914,44.470715,50.710377,35.716732,20.984579,21.98844,14,14,0.77851611,42,1,-0.86293715,-0.40313345,0.093900554,3.3186958,-2.235163,-0.41203699,0.054200001,3.213634,-0.6418277,-0.22578807,0.14609368,3.5400043,106.00926,58.792706,44.954277,81.043823,44.828232,34.21537,33.639362,42,30,0,3,-6.1409998,-8.812549600000001,39.024765,0,1,6,0,1,56,5,0,0,15.607628,-14.607628,0.031452313,0.037639216,336.89133,174.18829,58.087631,146.52322,211.05072,59.190556,50.157627,95.71444700000001,158.68274,0,0,5.6825762,216.94295,85.990021,0.60664523,0.35208052,0.19299302,0.39335477,0.64791948,0.20036176,970.0876500000001,563.0127,308.61554,629.01447,1036.0894,320.3989,0.5,1,0,0,0,0,1,0,0,0,1,0,1599.1021,0,0,0,1599.1021,0,21,1,1,0,0,1,-13.58503,566.43481,95.23561100000001,494.35403,78.731674,20.399931,18.868406,0,33.999886,283.02609,266.60812,37.625919,491.02435,99.227951,334.36285,54.522339,98.691559,335.89438,157.18175,286.75333,720.77002,0.13303965,7.7548876,5.1383328,13.231333,1599.1021,1971.3657,257.77148,54.267685,76.652534,180.32843,695.84686,273.241,476.59891,1537.7639,91717,157,502
2,347.96765,26,6,17,7,327,25,51,161,78,544.82245,1.6661236,0,0,102,0,0,166,0,28,30,0,1,1.912858,-2.6846669,-0.54981971,0.44592658,2.7015769,-3.3087475,-0.51354855,0.40473101,2.6688073,-2.4471698,-0.33468282,0.60607654,2.9401786,215.92036,79,0.48466256,17,329,24,163,8,98,0.60122699,288,0,121.15573,93.641998,65.006248,68.59938,75.880898,54.764332,32.17313,35.187618,20,20,0.77530181,64,2,-0.86297488,-0.4029848,0.10211445,3.38462,-2.2352252,-0.39512458,0.054200001,3.2798917,-0.64185846,-0.22484168,0.17167309,3.6068563,155.12816,85.90031399999999,63.399628,120.19932,66.447731,48.986862,49.608524,58,42,0,3,-5.369,-12.98061,59.11438,0,1,18,0,3,80,5,0,0,22.87694,-20.87694,0.02145374,0.026336219,467.10632,298.05243,58.866138,180.99927,296.44672,59.190556,101.8717,261.55417,199.00104,0,19.760618,5.6825762,284.77756,125.04004,0.62982196,0.37984875,0.17618263,0.37017807,0.62015122,0.19399545,1485.34,895.81598,415.50015,873.00916,1462.5332,457.50897,0.5,1,0,0,0,0,1,0,0,0,1,0,2358.3491,0,0,0,2358.3491,0,32,1,3,0,0,0.95031059,-16.69949,800.85028,122.99354,670.37445,109.43146,26.771082,88.296387,0,175.14536,358.49969,375.96655,56.99078,676.88098,149.9984,508.22174,104.22749,65.79437299999999,590.25031,215.63947,417.31607,988.15002,0.097427607,8.3487282,5.7101507,14.358815,2358.3491,2958.4065,352.73993,81.401527,112.13751,232.16637,1133.4429,352.69714,650.53912,2296.6819,294113,240,760
